text,id,tweet,tweet_token,token_prediction,sentence_prediction,sentence_prediction_prob
"@theogkarenica @CandySmith74 @SisterDawnMarie It's a ""clump of cells"" at 39 weeks pregnant??  This is a ""Clump of Cells"" at 16 weeks, that was aborted through ""Salt Poisoning"", method? Do it look like a ""Clump of Cells""? Second Image.   Former Abortionists would not agree that it is a ""Clump of Cells"" all.................... https://t.co/poIntgChGE",1368335522733563905,"@theogkarenica @CandySmith74 @SisterDawnMarie It's a ""clump of cells"" at 39 weeks pregnant??  This is a ""Clump of Cells"" at 16 weeks, that was aborted through ""Salt Poisoning"", method? Do it look like a ""Clump of Cells""? Second Image.   Former Abortionists would not agree that it is a ""Clump of Cells"" all.................... https://t.co/poIntgChGE","['@USER', '@USER', '@USER', ""It's"", 'a', '""', 'clump', 'of', 'cells', '""', 'at', '39', 'weeks', 'pregnant', '?', '?', 'This', 'is', 'a', '""', 'Clump', 'of', 'Cells', '""', 'at', '16', 'weeks', ',', 'that', 'was', 'aborted', 'through', '""', 'Salt', 'Poisoning', '""', ',', 'method', '?', 'Do', 'it', 'look', 'like', 'a', '""', 'Clump', 'of', 'Cells', '""', '?', 'Second', 'Image', '.', 'Former', 'Abortionists', 'would', 'not', 'agree', 'that', 'it', 'is', 'a', '""', 'Clump', 'of', 'Cells', '""', 'all', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 'HTTPURL']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9937558
Girl in the basement was a good movie. It’s crazy how SICK ppl are... Then I watched the documentaries afterwards shit was even more sad.,1368335507395129356,Girl in the basement was a good movie. It's crazy how SICK ppl are... Then I watched the documentaries afterwards shit was even more sad.,"['Girl', 'in', 'the', 'basement', 'was', 'a', 'good', 'movie', '.', ""It's"", 'crazy', 'how', 'SICK', 'ppl', 'are', '.', '.', '.', 'Then', 'I', 'watched', 'the', 'documentaries', 'afterwards', 'shit', 'was', 'even', 'more', 'sad', '.']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.96788263
@australian Great move by Federal Gov..the less we do with China the better.....sick of our country being held economically hostage by this communist regime...,1368335507021647872,@australian Great move by Federal Gov..the less we do with China the better.....sick of our country being held economically hostage by this communist regime...,"['@USER', 'Great', 'move', 'by', 'Federal', 'Gov', '.', '.', 'the', 'less', 'we', 'do', 'with', 'China', 'the', 'better', '.', '.', '.', '.', '.', 'sick', 'of', 'our', 'country', 'being', 'held', 'economically', 'hostage', 'by', 'this', 'communist', 'regime', '.', '.', '.']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9988193
"Right now, blue crew seniors are being formally recognized at senior night next to Mitch Ballock. I’m sick to my stomach",1368335487765733378,"Right now, blue crew seniors are being formally recognized at senior night next to Mitch Ballock. I'm sick to my stomach","['Right', 'now', ',', 'blue', 'crew', 'seniors', 'are', 'being', 'formally', 'recognized', 'at', 'senior', 'night', 'next', 'to', 'Mitch', 'Ballock', '.', ""I'm"", 'sick', 'to', 'my', 'stomach']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9766724
Sick bunch. https://t.co/rOU9K3xvRC,1368335473752563718,Sick bunch. https://t.co/rOU9K3xvRC,"['Sick', 'bunch', '.', 'HTTPURL']","O,O,O,O",0,0.99615437
You make me sick. I follow to understand liberal views and because you are smart. But this petty BS reminds me of Trump. Get a grip. https://t.co/PMn1mszVXP,1368335473614159875,You make me sick. I follow to understand liberal views and because you are smart. But this petty BS reminds me of Trump. Get a grip. https://t.co/PMn1mszVXP,"['You', 'make', 'me', 'sick', '.', 'I', 'follow', 'to', 'understand', 'liberal', 'views', 'and', 'because', 'you', 'are', 'smart', '.', 'But', 'this', 'petty', 'BS', 'reminds', 'me', 'of', 'Trump', '.', 'Get', 'a', 'grip', '.', 'HTTPURL']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.99853337
@iPhongXr @mightbesav I’m sick to my stomach drake,1368335465141698567,@iPhongXr @mightbesav I'm sick to my stomach drake,"['@USER', '@USER', ""I'm"", 'sick', 'to', 'my', 'stomach', 'drake']","O,O,O,O,O,O,O,O",0,0.998735
"Sick of putting effort in with people in my life who don’t do it in return, OVER it hun x",1368335463694675973,"Sick of putting effort in with people in my life who don't do it in return, OVER it hun x","['Sick', 'of', 'putting', 'effort', 'in', 'with', 'people', 'in', 'my', 'life', 'who', ""don't"", 'do', 'it', 'in', 'return', ',', 'OVER', 'it', 'hun', 'x']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.99822813
"@Levi_DrinksTea ""Who is sick? The Cadets?""",1368335449148829700,"@Levi_DrinksTea ""Who is sick? The Cadets?""","['@USER', '""', 'Who', 'is', 'sick', '?', 'The', 'Cadets', '?', '""']","O,O,O,O,O,O,O,O,O,O",0,0.9976616
no the fact that ariana was tweeting out apologies for cancelling promo because her grandpa was sick is really all that needs to be put on scooter braun's ticket to hell,1368335446829305856,no the fact that ariana was tweeting out apologies for cancelling promo because her grandpa was sick is really all that needs to be put on scooter braun's ticket to hell,"['no', 'the', 'fact', 'that', 'ariana', 'was', 'tweeting', 'out', 'apologies', 'for', 'cancelling', 'promo', 'because', 'her', 'grandpa', 'was', 'sick', 'is', 'really', 'all', 'that', 'needs', 'to', 'be', 'put', 'on', 'scooter', ""braun's"", 'ticket', 'to', 'hell']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.998868
"At first I wanted to be bone skinny again but I’m starting to love my body lowkey thick, some of y’all be looking sick skinny &amp; wow I was sick skinny lol!",1368335445579292677,"At first I wanted to be bone skinny again but I'm starting to love my body lowkey thick, some of y'all be looking sick skinny &amp; wow I was sick skinny lol!","['At', 'first', 'I', 'wanted', 'to', 'be', 'bone', 'skinny', 'again', 'but', ""I'm"", 'starting', 'to', 'love', 'my', 'body', 'lowkey', 'thick', ',', 'some', 'of', ""y'all"", 'be', 'looking', 'sick', 'skinny', '&amp;', 'wow', 'I', 'was', 'sick', 'skinny', 'lol', '!']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9988951
"@HelleneRobins @acraftymom And don’t forget, admin going into the isolation room, sometimes 6X daily, for students whose teachers send them down sick, donning full PPE to assess with the PH tool, round up siblings, call parents, meet them at the door explain how to get tested (not always well received).",1368335445206171654,"@HelleneRobins @acraftymom And don't forget, admin going into the isolation room, sometimes 6X daily, for students whose teachers send them down sick, donning full PPE to assess with the PH tool, round up siblings, call parents, meet them at the door explain how to get tested (not always well received).","['@USER', '@USER', 'And', ""don't"", 'forget', ',', 'admin', 'going', 'into', 'the', 'isolation', 'room', ',', 'sometimes', '6X', 'daily', ',', 'for', 'students', 'whose', 'teachers', 'send', 'them', 'down', 'sick', ',', 'donning', 'full', 'PPE', 'to', 'assess', 'with', 'the', 'PH', 'tool', ',', 'round', 'up', 'siblings', ',', 'call', 'parents', ',', 'meet', 'them', 'at', 'the', 'door', 'explain', 'how', 'to', 'get', 'tested', '(', 'not', 'always', 'well', 'received', ')', '.']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.99882394
"Never in our lifetime have we known anything so disgusting than how sick / incapacitated  disabled and other vulnerable are treated!  If brought up properly you CARE about people who are struggling, you do NOT abuse / remove monies / starve / harm / remove Motability vehicles etc",1368335445185204228,"Never in our lifetime have we known anything so disgusting than how sick / incapacitated  disabled and other vulnerable are treated!  If brought up properly you CARE about people who are struggling, you do NOT abuse / remove monies / starve / harm / remove Motability vehicles etc","['Never', 'in', 'our', 'lifetime', 'have', 'we', 'known', 'anything', 'so', 'disgusting', 'than', 'how', 'sick', '/', 'incapacitated', 'disabled', 'and', 'other', 'vulnerable', 'are', 'treated', '!', 'If', 'brought', 'up', 'properly', 'you', 'CARE', 'about', 'people', 'who', 'are', 'struggling', ',', 'you', 'do', 'NOT', 'abuse', '/', 'remove', 'monies', '/', 'starve', '/', 'harm', '/', 'remove', 'Motability', 'vehicles', 'etc']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9988751
When the NBA funds Brian Kemp’s re-election because these promoters for Steph Curry sick at all star weekend. https://t.co/m5Fj61yRlM,1368335438851805185,When the NBA funds Brian Kemp's re-election because these promoters for Steph Curry sick at all star weekend. https://t.co/m5Fj61yRlM,"['When', 'the', 'NBA', 'funds', 'Brian', ""Kemp's"", 're-election', 'because', 'these', 'promoters', 'for', 'Steph', 'Curry', 'sick', 'at', 'all', 'star', 'weekend', '.', 'HTTPURL']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9990024
I can’t stand all that grey decor. it makes me sick.,1368335438482661379,I can't stand all that grey decor. it makes me sick.,"['I', ""can't"", 'stand', 'all', 'that', 'grey', 'decor', '.', 'it', 'makes', 'me', 'sick', '.']","O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9983864
nah fuck this shit i actually feel sick im logging out that teume is disgusting https://t.co/8foEIFut3e,1368335437962612742,nah fuck this shit i actually feel sick im logging out that teume is disgusting https://t.co/8foEIFut3e,"['nah', 'fuck', 'this', 'shit', 'i', 'actually', 'feel', 'sick', 'im', 'logging', 'out', 'that', 'teume', 'is', 'disgusting', 'HTTPURL']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.97124386
@FrankieBorrelli That’s sick!,1368335437174091780,@FrankieBorrelli That's sick!,"['@USER', ""That's"", 'sick', '!']","O,O,O,O",0,0.99791056
These are sick https://t.co/RKqs1r8y5s,1368335434502135811,These are sick https://t.co/RKqs1r8y5s,"['These', 'are', 'sick', 'HTTPURL']","O,O,O,O",0,0.99859196
I'm so happy that @ShesDarling_ is feeling better. Thank the lord. I felt so bad that Ray was feeling sick. GOD BLESS Ray shes a beautiful woman Love her and I will always support her much love Ray💘💘💘💘💘💘💘💘❤❤,1368335434284204033,I'm so happy that @ShesDarling_ is feeling better. Thank the lord. I felt so bad that Ray was feeling sick. GOD BLESS Ray shes a beautiful woman Love her and I will always support her much love Ray💘💘💘💘💘💘💘💘❤❤,"[""I'm"", 'so', 'happy', 'that', '@USER', 'is', 'feeling', 'better', '.', 'Thank', 'the', 'lord', '.', 'I', 'felt', 'so', 'bad', 'that', 'Ray', 'was', 'feeling', 'sick', '.', 'GOD', 'BLESS', 'Ray', 'shes', 'a', 'beautiful', 'woman', 'Love', 'her', 'and', 'I', 'will', 'always', 'support', 'her', 'much', 'love', 'Ray💘💘💘💘💘💘💘💘❤❤']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",1,0.9852941
"@MrOlmos Um, if they don’t want them, couldn’t they just do the human thing and donate them to a hospital, since Idaho’s healthcare workers are going to need them when these so called “lib owners” show up in the hospitals sick with the virus?",1368335427552284680,"@MrOlmos Um, if they don't want them, couldn't they just do the human thing and donate them to a hospital, since Idaho's healthcare workers are going to need them when these so called “lib owners” show up in the hospitals sick with the virus?","['@USER', 'Um', ',', 'if', 'they', ""don't"", 'want', 'them', ',', ""couldn't"", 'they', 'just', 'do', 'the', 'human', 'thing', 'and', 'donate', 'them', 'to', 'a', 'hospital', ',', 'since', ""Idaho's"", 'healthcare', 'workers', 'are', 'going', 'to', 'need', 'them', 'when', 'these', 'so', 'called', '“lib', 'owners”', 'show', 'up', 'in', 'the', 'hospitals', 'sick', 'with', 'the', 'virus', '?']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9986224
"@JeMari81 Never, won’t happen unless I’m really sick...",1368335426243588098,"@JeMari81 Never, won't happen unless I'm really sick...","['@USER', 'Never', ',', ""won't"", 'happen', 'unless', ""I'm"", 'really', 'sick', '.', '.', '.']","O,O,O,O,O,O,O,O,O,O,O,O",0,0.9983714
@kroger Please tell me when to shop because I’m sick and tired of you being out of stuff consistently. It is absolutely ridiculous.,1368335426067529732,@kroger Please tell me when to shop because I'm sick and tired of you being out of stuff consistently. It is absolutely ridiculous.,"['@USER', 'Please', 'tell', 'me', 'when', 'to', 'shop', 'because', ""I'm"", 'sick', 'and', 'tired', 'of', 'you', 'being', 'out', 'of', 'stuff', 'consistently', '.', 'It', 'is', 'absolutely', 'ridiculous', '.']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.99851686
Every time Cuomo story comes up I’m reminded of every man I ever worked for who made sick comments or gave me back rubs at my desk. In those moments I laughed it off but now realize how much this changed the way I work around them and how I felt about myself. It’s abuse of power!,1368335422875574273,Every time Cuomo story comes up I'm reminded of every man I ever worked for who made sick comments or gave me back rubs at my desk. In those moments I laughed it off but now realize how much this changed the way I work around them and how I felt about myself. It's abuse of power!,"['Every', 'time', 'Cuomo', 'story', 'comes', 'up', ""I'm"", 'reminded', 'of', 'every', 'man', 'I', 'ever', 'worked', 'for', 'who', 'made', 'sick', 'comments', 'or', 'gave', 'me', 'back', 'rubs', 'at', 'my', 'desk', '.', 'In', 'those', 'moments', 'I', 'laughed', 'it', 'off', 'but', 'now', 'realize', 'how', 'much', 'this', 'changed', 'the', 'way', 'I', 'work', 'around', 'them', 'and', 'how', 'I', 'felt', 'about', 'myself', '.', ""It's"", 'abuse', 'of', 'power', '!']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9986719
@AOC You are one sick women.  Good thing you don’t have kids.  You are clueless,1368335419310411776,@AOC You are one sick women.  Good thing you don't have kids.  You are clueless,"['@USER', 'You', 'are', 'one', 'sick', 'women', '.', 'Good', 'thing', 'you', ""don't"", 'have', 'kids', '.', 'You', 'are', 'clueless']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.99832267
@jonallendc @Elex_Michaelson You make me sick. You and your co-author apparently want to diminish his relevance. This country is dealing with the “fake news” and the “steal” and you are attempting to position yourself with the Fox faux news. Congrats. I will never read your 💩book.,1368335418014511104,@jonallendc @Elex_Michaelson You make me sick. You and your co-author apparently want to diminish his relevance. This country is dealing with the “fake news” and the “steal” and you are attempting to position yourself with the Fox faux news. Congrats. I will never read your 💩book.,"['@USER', '@USER', 'You', 'make', 'me', 'sick', '.', 'You', 'and', 'your', 'co-author', 'apparently', 'want', 'to', 'diminish', 'his', 'relevance', '.', 'This', 'country', 'is', 'dealing', 'with', 'the', '“fake', 'news”', 'and', 'the', '“steal”', 'and', 'you', 'are', 'attempting', 'to', 'position', 'yourself', 'with', 'the', 'Fox', 'faux', 'news', '.', 'Congrats', '.', 'I', 'will', 'never', 'read', 'your', '💩book', '.']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9977029
Y’all are sick 😂😂😂 https://t.co/O54OvPWu8N,1368335416164777988,Y'all are sick 😂😂😂 https://t.co/O54OvPWu8N,"[""Y'all"", 'are', 'sick', '😂😂😂', 'HTTPURL']","O,O,O,O,O",0,0.9864183
Man poured squid ink into his soda I’m SICK https://t.co/jPDVEipb48,1368335408086593539,Man poured squid ink into his soda I'm SICK https://t.co/jPDVEipb48,"['Man', 'poured', 'squid', 'ink', 'into', 'his', 'soda', ""I'm"", 'SICK', 'HTTPURL']","O,O,O,O,O,O,O,O,O,O",0,0.9988462
"I need to stop going on walks in the middle of the night when I hit crisis, but I'm so sick of seeing my house every day",1368335407138672642,"I need to stop going on walks in the middle of the night when I hit crisis, but I'm so sick of seeing my house every day","['I', 'need', 'to', 'stop', 'going', 'on', 'walks', 'in', 'the', 'middle', 'of', 'the', 'night', 'when', 'I', 'hit', 'crisis', ',', 'but', ""I'm"", 'so', 'sick', 'of', 'seeing', 'my', 'house', 'every', 'day']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9988164
ma just told me she was sick of me over a missing sock 💃  alright-,1368335402109698050,ma just told me she was sick of me over a missing sock 💃  alright-,"['ma', 'just', 'told', 'me', 'she', 'was', 'sick', 'of', 'me', 'over', 'a', 'missing', 'sock', '💃', 'alright-']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.99891543
@DidierNuborn Sick,1368335395558162434,@DidierNuborn Sick,"['@USER', 'Sick']","O,O",0,0.99120444
My Mom is hilarious. She got her second shot on Thursday &amp; asked if I was going to come there and bring her crab shack because she was “going to be sick” 😭,1368335391560933376,My Mom is hilarious. She got her second shot on Thursday &amp; asked if I was going to come there and bring her crab shack because she was “going to be sick” 😭,"['My', 'Mom', 'is', 'hilarious', '.', 'She', 'got', 'her', 'second', 'shot', 'on', 'Thursday', '&amp;', 'asked', 'if', 'I', 'was', 'going', 'to', 'come', 'there', 'and', 'bring', 'her', 'crab', 'shack', 'because', 'she', 'was', '“going', 'to', 'be', 'sick”', '😭']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9965623
This poor woman went police to report 9 times !!!!Nine!!! They did NOTHING ! WILL THIS MUST BE HAPPEN EVERY FKNG TIME BEFORE POLICE AND GOVERMENT TAKE ACTION TO WOMEN VIOLANCE IN TURKEY?Yes. Because our lifes isnt worth it ? I WANT TO PUKE. #Fight4WomenTurkey #kadınasiddeteHAYIR https://t.co/duZL26eJzv,1368335388662763521,This poor woman went police to report 9 times !!!!Nine!!! They did NOTHING ! WILL THIS MUST BE HAPPEN EVERY FKNG TIME BEFORE POLICE AND GOVERMENT TAKE ACTION TO WOMEN VIOLANCE IN TURKEY?Yes. Because our lifes isnt worth it ? I WANT TO PUKE. #Fight4WomenTurkey #kadınasiddeteHAYIR https://t.co/duZL26eJzv,"['This', 'poor', 'woman', 'went', 'police', 'to', 'report', '9', 'times', '!', '!', '!', '!', 'Nine', '!', '!', '!', 'They', 'did', 'NOTHING', '!', 'WILL', 'THIS', 'MUST', 'BE', 'HAPPEN', 'EVERY', 'FKNG', 'TIME', 'BEFORE', 'POLICE', 'AND', 'GOVERMENT', 'TAKE', 'ACTION', 'TO', 'WOMEN', 'VIOLANCE', 'IN', 'TURKEY', '?', 'Yes', '.', 'Because', 'our', 'lifes', 'isnt', 'worth', 'it', '?', 'I', 'WANT', 'TO', 'PUKE', '.', '#Fight4WomenTurkey', '#kadınasiddeteHAYIR', 'HTTPURL']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9984665
"@nonfrictionary i feel like he flies under the radar because gretchen is also terrible, but she is delusional he’s just doing it because he can it’s sick",1368335386968211458,"@nonfrictionary i feel like he flies under the radar because gretchen is also terrible, but she is delusional he's just doing it because he can it's sick","['@USER', 'i', 'feel', 'like', 'he', 'flies', 'under', 'the', 'radar', 'because', 'gretchen', 'is', 'also', 'terrible', ',', 'but', 'she', 'is', 'delusional', ""he's"", 'just', 'doing', 'it', 'because', 'he', 'can', ""it's"", 'sick']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.99872273
Sick freak https://t.co/KMWCNbayZC,1368335368949403648,Sick freak https://t.co/KMWCNbayZC,"['Sick', 'freak', 'HTTPURL']","O,O,O",0,0.99776757
i’m sick of these nightmares why can’t i sleep in peace!!,1368335365136736261,i'm sick of these nightmares why can't i sleep in peace!!,"[""i'm"", 'sick', 'of', 'these', 'nightmares', 'why', ""can't"", 'i', 'sleep', 'in', 'peace', '!', '!']","O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.99876213
