text,id,tweet,tweet_token,token_prediction,sentence_prediction,sentence_prediction_prob
"I plan to wear a mask... for a looong time. I've not had one cold OR flu since masking. And we have two young kids at home, both attending in-school 2-3 days each week. I like not getting sick. https://t.co/BCudFSMsJd",1368335057694257153,"I plan to wear a mask... for a looong time. I've not had one cold OR flu since masking. And we have two young kids at home, both attending in-school 2-3 days each week. I like not getting sick. https://t.co/BCudFSMsJd","['I', 'plan', 'to', 'wear', 'a', 'mask', '.', '.', '.', 'for', 'a', 'looong', 'time', '.', ""I've"", 'not', 'had', 'one', 'cold', 'OR', 'flu', 'since', 'masking', '.', 'And', 'we', 'have', 'two', 'young', 'kids', 'at', 'home', ',', 'both', 'attending', 'in-school', '2-3', 'days', 'each', 'week', '.', 'I', 'like', 'not', 'getting', 'sick', '.', 'HTTPURL']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",1,0.7413921
"hi? Don't eat late, thank you for working hard, don't get sick, get enough sleep, eat well, and I love you💖💖 @treasuremembers",1368335049569935362,"hi? Don't eat late, thank you for working hard, don't get sick, get enough sleep, eat well, and I love you💖💖 @treasuremembers","['hi', '?', ""Don't"", 'eat', 'late', ',', 'thank', 'you', 'for', 'working', 'hard', ',', ""don't"", 'get', 'sick', ',', 'get', 'enough', 'sleep', ',', 'eat', 'well', ',', 'and', 'I', 'love', 'you💖💖', '@USER']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9978423
SICK!!! I hope these kids don't get the #TrumpVirus before they have a vaccine for children or get any other contagious disease that these masks might prevent https://t.co/DUl2g78PC0,1368335049179947010,SICK!!! I hope these kids don't get the #TrumpVirus before they have a vaccine for children or get any other contagious disease that these masks might prevent https://t.co/DUl2g78PC0,"['SICK', '!', '!', '!', 'I', 'hope', 'these', 'kids', ""don't"", 'get', 'the', '#TrumpVirus', 'before', 'they', 'have', 'a', 'vaccine', 'for', 'children', 'or', 'get', 'any', 'other', 'contagious', 'disease', 'that', 'these', 'masks', 'might', 'prevent', 'HTTPURL']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.99880314
"I'm sensing some people taking sick time for @accuweather ""Spring Fever"" forecast this week! https://t.co/AyKZVNRwR1",1368335046462017536,"I'm sensing some people taking sick time for @accuweather ""Spring Fever"" forecast this week! https://t.co/AyKZVNRwR1","[""I'm"", 'sensing', 'some', 'people', 'taking', 'sick', 'time', 'for', '@USER', '""', 'Spring', 'Fever', '""', 'forecast', 'this', 'week', '!', 'HTTPURL']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9983773
Ya smoked to fun characters and still aint fix my kiblast? Im sick,1368335043953909766,Ya smoked to fun characters and still aint fix my kiblast? Im sick,"['Ya', 'smoked', 'to', 'fun', 'characters', 'and', 'still', 'aint', 'fix', 'my', 'kiblast', '?', 'Im', 'sick']","O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.99782205
"LMAOO this game is sick, god content by @Varsityy9   PLEASE GO FOLLOW HIM HES 2 AWAY FROM 100  https://t.co/CPHFoJmANb https://t.co/VcyjtjGOR6",1368335043366682625,"LMAOO this game is sick, god content by @Varsityy9   PLEASE GO FOLLOW HIM HES 2 AWAY FROM 100  https://t.co/CPHFoJmANb https://t.co/VcyjtjGOR6","['LMAOO', 'this', 'game', 'is', 'sick', ',', 'god', 'content', 'by', '@USER', 'PLEASE', 'GO', 'FOLLOW', 'HIM', 'HES', '2', 'AWAY', 'FROM', '100', 'HTTPURL', 'HTTPURL']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.99850684
@bangtanbangs They're actually sick and don't even like the member at all,1368335042074669058,@bangtanbangs They're actually sick and don't even like the member at all,"['@USER', ""They're"", 'actually', 'sick', 'and', ""don't"", 'even', 'like', 'the', 'member', 'at', 'all']","O,O,O,O,O,O,O,O,O,O,O,O",0,0.99855226
"@RealCryptoFace1 Hey crypto face, your Ferrari is sick. I hope I win!",1368335035464622080,"@RealCryptoFace1 Hey crypto face, your Ferrari is sick. I hope I win!","['@USER', 'Hey', 'crypto', 'face', ',', 'your', 'Ferrari', 'is', 'sick', '.', 'I', 'hope', 'I', 'win', '!']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9979341
"@DesolateCSGO That iBP one looks really sick, would love to see that!",1368335028460150786,"@DesolateCSGO That iBP one looks really sick, would love to see that!","['@USER', 'That', 'iBP', 'one', 'looks', 'really', 'sick', ',', 'would', 'love', 'to', 'see', 'that', '!']","O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9985073
"@jshelat1 I was fine after the first but while I’ve not felt sick today, I am super fatigued. I’m sure it has nothing to do with 3/4 of a school year teaching online, starting at 5am!",1368335027499634688,"@jshelat1 I was fine after the first but while I've not felt sick today, I am super fatigued. I'm sure it has nothing to do with 3/4 of a school year teaching online, starting at 5am!","['@USER', 'I', 'was', 'fine', 'after', 'the', 'first', 'but', 'while', ""I've"", 'not', 'felt', 'sick', 'today', ',', 'I', 'am', 'super', 'fatigued', '.', ""I'm"", 'sure', 'it', 'has', 'nothing', 'to', 'do', 'with', '3/4', 'of', 'a', 'school', 'year', 'teaching', 'online', ',', 'starting', 'at', '5am', '!']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",1,0.97002643
"@JaniceDean What Makes Me Sick about the Media’s so-called journalist is “Ranking 3 Sexual Harassment Accusations” ABOVE HOLDING @NYGovCuomo RESPONSIBLE For The DEATHS of 15,000 Citizens, And Covering Up His Crimes with Concealing Information in a Federal Investigation (Obstructing  Justice)",1368335025113071625,"@JaniceDean What Makes Me Sick about the Media's so-called journalist is “Ranking 3 Sexual Harassment Accusations” ABOVE HOLDING @NYGovCuomo RESPONSIBLE For The DEATHS of 15,000 Citizens, And Covering Up His Crimes with Concealing Information in a Federal Investigation (Obstructing  Justice)","['@USER', 'What', 'Makes', 'Me', 'Sick', 'about', 'the', ""Media's"", 'so-called', 'journalist', 'is', '“Ranking', '3', 'Sexual', 'Harassment', 'Accusations”', 'ABOVE', 'HOLDING', '@USER', 'RESPONSIBLE', 'For', 'The', 'DEATHS', 'of', '15', ',', '000', 'Citizens', ',', 'And', 'Covering', 'Up', 'His', 'Crimes', 'with', 'Concealing', 'Information', 'in', 'a', 'Federal', 'Investigation', '(', 'Obstructing', 'Justice', ')']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.99849164
"@drnickgreiner Friend got it sophomore yr of college, terribly sick. Definitely better when little.",1368335009002762249,"@drnickgreiner Friend got it sophomore yr of college, terribly sick. Definitely better when little.","['@USER', 'Friend', 'got', 'it', 'sophomore', 'yr', 'of', 'college', ',', 'terribly', 'sick', '.', 'Definitely', 'better', 'when', 'little', '.']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.90749484
@HamillHimself Sick burn... 😂,1368335001494953984,@HamillHimself Sick burn... 😂,"['@USER', 'Sick', 'burn', '.', '.', '.', '😂']","O,O,O,O,O,O,O",1,0.9492909
@MargaretJosephs So sick of Teresa. I don’t understand why y’all are so scared of her!!!,1368335000102387716,@MargaretJosephs So sick of Teresa. I don't understand why y'all are so scared of her!!!,"['@USER', 'So', 'sick', 'of', 'Teresa', '.', 'I', ""don't"", 'understand', 'why', ""y'all"", 'are', 'so', 'scared', 'of', 'her', '!', '!', '!']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9986865
@SenSchumer You take money from jobless people that are out of work at no fault of their own. Cut off $100 of UI and add just 6 days into September but yet you vote on spending money not related to covid. Congress makes me sick!,1368334998185578501,@SenSchumer You take money from jobless people that are out of work at no fault of their own. Cut off $100 of UI and add just 6 days into September but yet you vote on spending money not related to covid. Congress makes me sick!,"['@USER', 'You', 'take', 'money', 'from', 'jobless', 'people', 'that', 'are', 'out', 'of', 'work', 'at', 'no', 'fault', 'of', 'their', 'own', '.', 'Cut', 'off', '$100', 'of', 'UI', 'and', 'add', 'just', '6', 'days', 'into', 'September', 'but', 'yet', 'you', 'vote', 'on', 'spending', 'money', 'not', 'related', 'to', 'covid', '.', 'Congress', 'makes', 'me', 'sick', '!']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9985703
If anyone knows what goes into the ink of a bonding spell through a tattoo please help me..he won't tell me what he put in it and I don't want to become sick so if anyone has any idea please help🙏🏽,1368334995736104961,If anyone knows what goes into the ink of a bonding spell through a tattoo please help me..he won't tell me what he put in it and I don't want to become sick so if anyone has any idea please help🙏🏽,"['If', 'anyone', 'knows', 'what', 'goes', 'into', 'the', 'ink', 'of', 'a', 'bonding', 'spell', 'through', 'a', 'tattoo', 'please', 'help', 'me', '.', '.', 'he', ""won't"", 'tell', 'me', 'what', 'he', 'put', 'in', 'it', 'and', 'I', ""don't"", 'want', 'to', 'become', 'sick', 'so', 'if', 'anyone', 'has', 'any', 'idea', 'please', 'help🙏🏽']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.99859005
@nypost How do I block all tweets that have “Meghan Markle” in them? So very sick of this woman.,1368334995505446914,@nypost How do I block all tweets that have “Meghan Markle” in them? So very sick of this woman.,"['@USER', 'How', 'do', 'I', 'block', 'all', 'tweets', 'that', 'have', '“Meghan', 'Markle”', 'in', 'them', '?', 'So', 'very', 'sick', 'of', 'this', 'woman', '.']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9972994
this baby vomit 🤮 on me and didn’t buy me a drink . where they do this at? https://t.co/XHOQ9D74OE,1368334992435122176,this baby vomit 🤮 on me and didn't buy me a drink . where they do this at? https://t.co/XHOQ9D74OE,"['this', 'baby', 'vomit', '🤮', 'on', 'me', 'and', ""didn't"", 'buy', 'me', 'a', 'drink', '.', 'where', 'they', 'do', 'this', 'at', '?', 'HTTPURL']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.81625843
@Kleeo59_14 🤣🤣 well I'm sick of reading about shitty Republicans Ron Johnson that Simema chick Qanons  and blah.,1368334991931944960,@Kleeo59_14 🤣🤣 well I'm sick of reading about shitty Republicans Ron Johnson that Simema chick Qanons  and blah.,"['@USER', '🤣🤣', 'well', ""I'm"", 'sick', 'of', 'reading', 'about', 'shitty', 'Republicans', 'Ron', 'Johnson', 'that', 'Simema', 'chick', 'Qanons', 'and', 'blah', '.']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9985959
“I'm about to vomit and I can feel it coming Cause failure's something I can barely stomach And I only listen to my gut So unless you're my belly button Don't tell me nothing...”,1368334987884433409,“I'm about to vomit and I can feel it coming Cause failure's something I can barely stomach And I only listen to my gut So unless you're my belly button Don't tell me nothing...”,"[""“I'm"", 'about', 'to', 'vomit', 'and', 'I', 'can', 'feel', 'it', 'coming', 'Cause', ""failure's"", 'something', 'I', 'can', 'barely', 'stomach', 'And', 'I', 'only', 'listen', 'to', 'my', 'gut', 'So', 'unless', ""you're"", 'my', 'belly', 'button', ""Don't"", 'tell', 'me', 'nothing', '.', '.', '.', '”']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9985298
"@kyrstensinema To make your sick performative bullshit worse, you even parodied John McCain's vote to SAVE affordable health care for many of the same minimum wage workers you just told to go fuck their undeserving poor selves.  You're a fucking monster, and you're GONE in 2024.",1368334984264617985,"@kyrstensinema To make your sick performative bullshit worse, you even parodied John McCain's vote to SAVE affordable health care for many of the same minimum wage workers you just told to go fuck their undeserving poor selves.  You're a fucking monster, and you're GONE in 2024.","['@USER', 'To', 'make', 'your', 'sick', 'performative', 'bullshit', 'worse', ',', 'you', 'even', 'parodied', 'John', ""McCain's"", 'vote', 'to', 'SAVE', 'affordable', 'health', 'care', 'for', 'many', 'of', 'the', 'same', 'minimum', 'wage', 'workers', 'you', 'just', 'told', 'to', 'go', 'fuck', 'their', 'undeserving', 'poor', 'selves', '.', ""You're"", 'a', 'fucking', 'monster', ',', 'and', ""you're"", 'GONE', 'in', '2024', '.']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9988784
@woIfstvrs wtf????????? ur sick,1368334981341188098,@woIfstvrs wtf????????? ur sick,"['@USER', 'wtf', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'ur', 'sick']","O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.99725693
me vs still trying to figure out why i can’t eat a full meal without feeling sick https://t.co/lbOqKrneas,1368334972386308098,me vs still trying to figure out why i can't eat a full meal without feeling sick https://t.co/lbOqKrneas,"['me', 'vs', 'still', 'trying', 'to', 'figure', 'out', 'why', 'i', ""can't"", 'eat', 'a', 'full', 'meal', 'without', 'feeling', 'sick', 'HTTPURL']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.57685053
@politico So... He targeted Sen Tester. It didn't work. @gop @LeaderMcConnell @GOPLeader Aren't you sick to death of the grievances of fired #OrangeMussolini? @lisamurkowski is a fighter...She has been good for Alaska. I would hope Alaskans would side w/the individual who has stood w/them.,1368334966862589953,@politico So... He targeted Sen Tester. It didn't work. @gop @LeaderMcConnell @GOPLeader Aren't you sick to death of the grievances of fired #OrangeMussolini? @lisamurkowski is a fighter...She has been good for Alaska. I would hope Alaskans would side w/the individual who has stood w/them.,"['@USER', 'So', '.', '.', '.', 'He', 'targeted', 'Sen', 'Tester', '.', 'It', ""didn't"", 'work', '.', '@USER', '@USER', '@USER', ""Aren't"", 'you', 'sick', 'to', 'death', 'of', 'the', 'grievances', 'of', 'fired', '#OrangeMussolini', '?', '@USER', 'is', 'a', 'fighter', '.', '.', '.', 'She', 'has', 'been', 'good', 'for', 'Alaska', '.', 'I', 'would', 'hope', 'Alaskans', 'would', 'side', 'w/the', 'individual', 'who', 'has', 'stood', 'w/them', '.']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9977095
@IanAlex97153579 @RaheemKassam OH please tell us what he promised to do:  This is what he has done started war killed jobs let infected illegals in the country roll back EOs that protected the sick and victimized hide behind the military  where is: 2K stimulus check forgiven loans 15 hr wage  Sunshine 🤡,1368334965495173121,@IanAlex97153579 @RaheemKassam OH please tell us what he promised to do:  This is what he has done started war killed jobs let infected illegals in the country roll back EOs that protected the sick and victimized hide behind the military  where is: 2K stimulus check forgiven loans 15 hr wage  Sunshine 🤡,"['@USER', '@USER', 'OH', 'please', 'tell', 'us', 'what', 'he', 'promised', 'to', 'do', ':', 'This', 'is', 'what', 'he', 'has', 'done', 'started', 'war', 'killed', 'jobs', 'let', 'infected', 'illegals', 'in', 'the', 'country', 'roll', 'back', 'EOs', 'that', 'protected', 'the', 'sick', 'and', 'victimized', 'hide', 'behind', 'the', 'military', 'where', 'is', ':', '2K', 'stimulus', 'check', 'forgiven', 'loans', '15', 'hr', 'wage', 'Sunshine', '🤡']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9988593
i miss hexagang so much this is sick,1368334962898960384,i miss hexagang so much this is sick,"['i', 'miss', 'hexagang', 'so', 'much', 'this', 'is', 'sick']","O,O,O,O,O,O,O,O",0,0.9985435
@druidDUDE I'm not normally one for uping prices on shit but when the sick numbers go up &amp; the shops etc. make masks mandatory again so if these numbnuts wanna go shopping they need one: up the prices.,1368334958989828097,@druidDUDE I'm not normally one for uping prices on shit but when the sick numbers go up &amp; the shops etc. make masks mandatory again so if these numbnuts wanna go shopping they need one: up the prices.,"['@USER', ""I'm"", 'not', 'normally', 'one', 'for', 'uping', 'prices', 'on', 'shit', 'but', 'when', 'the', 'sick', 'numbers', 'go', 'up', '&amp;', 'the', 'shops', 'etc', '.', 'make', 'masks', 'mandatory', 'again', 'so', 'if', 'these', 'numbnuts', 'wanna', 'go', 'shopping', 'they', 'need', 'one', ':', 'up', 'the', 'prices', '.']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9987196
@makarovararat @301_AD These would have been sick might have given us an ok deal to since it aligns with their interests.,1368334946042056710,@makarovararat @301_AD These would have been sick might have given us an ok deal to since it aligns with their interests.,"['@USER', '@USER', 'These', 'would', 'have', 'been', 'sick', 'might', 'have', 'given', 'us', 'an', 'ok', 'deal', 'to', 'since', 'it', 'aligns', 'with', 'their', 'interests', '.']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.998755
@Newgrounds @2s_a_party wow this looks sick krinkels would be impressed,1368334929927548931,@Newgrounds @2s_a_party wow this looks sick krinkels would be impressed,"['@USER', '@USER', 'wow', 'this', 'looks', 'sick', 'krinkels', 'would', 'be', 'impressed']","O,O,O,O,O,O,O,O,O,O",0,0.9987962
"https://t.co/VZChCS3sFv Troops got Sick, N.G; and leaders are pissed.",1368334929881309184,"https://t.co/VZChCS3sFv Troops got Sick, N.G; and leaders are pissed.","['HTTPURL', 'Troops', 'got', 'Sick', ',', 'N', '.', 'G;', 'and', 'leaders', 'are', 'pissed', '.']","O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.99873036
"@janet_cutts @SocialM85897394 @ToHull_andback @ITV Like you, I'm sick to death of the whole business and certainly won't be watching",1368334929285808132,"@janet_cutts @SocialM85897394 @ToHull_andback @ITV Like you, I'm sick to death of the whole business and certainly won't be watching","['@USER', '@USER', '@USER', '@USER', 'Like', 'you', ',', ""I'm"", 'sick', 'to', 'death', 'of', 'the', 'whole', 'business', 'and', 'certainly', ""won't"", 'be', 'watching']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9985892
"@sunny Let them get sick, just stay away from our hospital and doctors.😏",1368334919458557955,"@sunny Let them get sick, just stay away from our hospital and doctors.😏","['@USER', 'Let', 'them', 'get', 'sick', ',', 'just', 'stay', 'away', 'from', 'our', 'hospital', 'and', 'doctors', '.', '😏']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.99884677
U know what I’m about to give up on getting hu tao like this is making me sick !,1368334918003032073,U know what I'm about to give up on getting hu tao like this is making me sick !,"['U', 'know', 'what', ""I'm"", 'about', 'to', 'give', 'up', 'on', 'getting', 'hu', 'tao', 'like', 'this', 'is', 'making', 'me', 'sick', '!']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.99836546
@JordanChariton Anyone remember when Trump threw a temper tantrum and refused to sign the CARES Act? He went to Mar-a-lago and demanded $2000 long after negotiations &amp; it had passed the House and Senate? Anyone? NOT ONE Republican supported this bill. Sick of GOP blaming Dems for THEIR failures. https://t.co/o9sG4NPVfK,1368334914999910400,@JordanChariton Anyone remember when Trump threw a temper tantrum and refused to sign the CARES Act? He went to Mar-a-lago and demanded $2000 long after negotiations &amp; it had passed the House and Senate? Anyone? NOT ONE Republican supported this bill. Sick of GOP blaming Dems for THEIR failures. https://t.co/o9sG4NPVfK,"['@USER', 'Anyone', 'remember', 'when', 'Trump', 'threw', 'a', 'temper', 'tantrum', 'and', 'refused', 'to', 'sign', 'the', 'CARES', 'Act', '?', 'He', 'went', 'to', 'Mar-a-lago', 'and', 'demanded', '$2000', 'long', 'after', 'negotiations', '&amp;', 'it', 'had', 'passed', 'the', 'House', 'and', 'Senate', '?', 'Anyone', '?', 'NOT', 'ONE', 'Republican', 'supported', 'this', 'bill', '.', 'Sick', 'of', 'GOP', 'blaming', 'Dems', 'for', 'THEIR', 'failures', '.', 'HTTPURL']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.99823135
@TaxmanPlayaz Sick track 🚀🚀,1368334905915097088,@TaxmanPlayaz Sick track 🚀🚀,"['@USER', 'Sick', 'track', '🚀🚀']","O,O,O,O",1,0.75383425
We’re so sick of these people. It’s time for #StarmerOut #DavidEvansOut #angelarayner out! https://t.co/LMj6zcyTTm,1368334905311178759,We're so sick of these people. It's time for #StarmerOut #DavidEvansOut #angelarayner out! https://t.co/LMj6zcyTTm,"[""We're"", 'so', 'sick', 'of', 'these', 'people', '.', ""It's"", 'time', 'for', '#StarmerOut', '#DavidEvansOut', '#angelarayner', 'out', '!', 'HTTPURL']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9987532
Being sick with a sick wife and a sick kid isn't the most ideal way to spend a weekend.,1368334885807665158,Being sick with a sick wife and a sick kid isn't the most ideal way to spend a weekend.,"['Being', 'sick', 'with', 'a', 'sick', 'wife', 'and', 'a', 'sick', 'kid', ""isn't"", 'the', 'most', 'ideal', 'way', 'to', 'spend', 'a', 'weekend', '.']","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",0,0.9990256
@MavenOfMayhem they make me sick,1368334885459484674,@MavenOfMayhem they make me sick,"['@USER', 'they', 'make', 'me', 'sick']","O,O,O,O,O",0,0.9949764
@jay_thediamond bro im so sick of you 😭,1368334885329440770,@jay_thediamond bro im so sick of you 😭,"['@USER', 'bro', 'im', 'so', 'sick', 'of', 'you', '😭']","O,O,O,O,O,O,O,O",0,0.99818265
